seed,m,policy,proposal_step,candidate_width,accepted,cap_ok,val_ok,width_cap,epsV,tau,candidate_train_loss,candidate_train_acc,candidate_val_loss,candidate_val_acc,candidate_test_iid_loss,candidate_test_iid_acc,candidate_test_shift_loss,candidate_test_shift_acc,candidate_gen_gap,candidate_correction_train_pre_acc,candidate_correction_train_post_acc,candidate_correction_train_gain,candidate_correction_train_pre_loss,candidate_correction_train_post_loss,candidate_correction_eval_pre_acc,candidate_correction_eval_post_acc,candidate_correction_eval_gain,candidate_correction_eval_pre_loss,candidate_correction_eval_post_loss,candidate_correction_param_shift_l2,candidate_correction_pre_acc,candidate_correction_post_acc,candidate_correction_gain,candidate_correction_pre_loss,candidate_correction_post_loss,active_width,active_train_loss,active_train_acc,active_val_loss,active_val_acc,active_test_iid_loss,active_test_iid_acc,active_test_shift_loss,active_test_shift_acc,active_gen_gap,active_correction_train_pre_acc,active_correction_train_post_acc,active_correction_train_gain,active_correction_train_pre_loss,active_correction_train_post_loss,active_correction_eval_pre_acc,active_correction_eval_post_acc,active_correction_eval_gain,active_correction_eval_pre_loss,active_correction_eval_post_loss,active_correction_param_shift_l2,active_correction_pre_acc,active_correction_post_acc,active_correction_gain,active_correction_pre_loss,active_correction_post_loss
1,512,dest_train,4,64,True,True,True,24,0.03181729027208751,0.011136051595230628,0.00011095027002738789,1.0,0.01617725845426321,0.9947916666666666,0.010067159306345275,0.9970703125,12.698060274124146,0.015625,0.009956209036317887,0.026041666666666668,0.9739583333333334,0.9479166666666667,12.642265637715658,0.07935384598871072,0.013427734375,0.982177734375,0.96875,12.785029999911785,0.0827786407462554,1.8325703612685829,0.013427734375,0.982177734375,0.96875,12.785029999911785,0.0827786407462554,64,0.00011095027002738789,1.0,0.01617725845426321,0.9947916666666666,0.010067159306345275,0.9970703125,12.698060274124146,0.015625,0.009956209036317887,0.026041666666666668,0.9739583333333334,0.9479166666666667,12.642265637715658,0.07935384598871072,0.013427734375,0.982177734375,0.96875,12.785029999911785,0.0827786407462554,1.8325703612685829,0.013427734375,0.982177734375,0.96875,12.785029999911785,0.0827786407462554
1,512,dest_train,5,96,False,True,False,24,0.03181729027208751,0.011136051595230628,6.602061876037624e-05,1.0,0.007343573650966088,0.9947916666666666,0.013324944093483282,0.996826171875,14.308349192142487,0.021240234375,0.013258923474722906,0.03125,0.9635416666666666,0.9322916666666666,14.229694684346518,0.11057672339181106,0.02587890625,0.976806640625,0.950927734375,14.419152848422527,0.0949940450664144,1.7501574195799512,0.02587890625,0.976806640625,0.950927734375,14.419152848422527,0.0949940450664144,64,0.00011095027002738789,1.0,0.01617725845426321,0.9947916666666666,0.010067159306345275,0.9970703125,12.698060274124146,0.015625,0.009956209036317887,0.026041666666666668,0.9739583333333334,0.9479166666666667,12.642265637715658,0.07935384598871072,0.013427734375,0.982177734375,0.96875,12.785029999911785,0.0827786407462554,1.8325703612685829,0.013427734375,0.982177734375,0.96875,12.785029999911785,0.0827786407462554
2,512,dest_train,0,4,True,True,True,24,0.03181729027208751,0.011136051595230628,0.0037496763980016112,1.0,0.00712182791903615,0.9973958333333334,0.00935178596409969,0.997314453125,6.128071904182434,0.017333984375,0.005602109566098079,0.026041666666666668,0.9166666666666666,0.890625,5.955705483754476,0.2623295734326045,0.016845703125,0.88427734375,0.867431640625,6.1250367276370525,0.316780504072085,1.7624362406046652,0.016845703125,0.88427734375,0.867431640625,6.1250367276370525,0.316780504072085,4,0.0037496763980016112,1.0,0.00712182791903615,0.9973958333333334,0.00935178596409969,0.997314453125,6.128071904182434,0.017333984375,0.005602109566098079,0.026041666666666668,0.9166666666666666,0.890625,5.955705483754476,0.2623295734326045,0.016845703125,0.88427734375,0.867431640625,6.1250367276370525,0.316780504072085,1.7624362406046652,0.016845703125,0.88427734375,0.867431640625,6.1250367276370525,0.316780504072085
2,512,dest_train,1,8,True,True,True,24,0.03181729027208751,0.011136051595230628,0.0013578829821199179,1.0,0.00455787389849623,0.9973958333333334,0.00691393904708093,0.998046875,8.034746378660202,0.011474609375,0.0055560560649610125,0.015625,0.734375,0.71875,7.754352887471517,0.5572120994329453,0.01123046875,0.732421875,0.72119140625,8.039747789502144,0.5987634395714849,2.042738796812667,0.01123046875,0.732421875,0.72119140625,8.039747789502144,0.5987634395714849,8,0.0013578829821199179,1.0,0.00455787389849623,0.9973958333333334,0.00691393904708093,0.998046875,8.034746378660202,0.011474609375,0.0055560560649610125,0.015625,0.734375,0.71875,7.754352887471517,0.5572120994329453,0.01123046875,0.732421875,0.72119140625,8.039747789502144,0.5987634395714849,2.042738796812667,0.01123046875,0.732421875,0.72119140625,8.039747789502144,0.5987634395714849
2,512,dest_train,2,16,True,True,True,24,0.03181729027208751,0.011136051595230628,0.000601027044467628,1.0,0.0026618641956398883,1.0,0.005918467204537592,0.99853515625,9.820769667625427,0.010986328125,0.005317440160069964,0.020833333333333332,0.8802083333333334,0.859375,9.484227180480957,0.4748535950978597,0.00927734375,0.8955078125,0.88623046875,9.798024095594883,0.4537569822277874,2.111585783631235,0.00927734375,0.8955078125,0.88623046875,9.798024095594883,0.4537569822277874,16,0.000601027044467628,1.0,0.0026618641956398883,1.0,0.005918467204537592,0.99853515625,9.820769667625427,0.010986328125,0.005317440160069964,0.020833333333333332,0.8802083333333334,0.859375,9.484227180480957,0.4748535950978597,0.00927734375,0.8955078125,0.88623046875,9.798024095594883,0.4537569822277874,2.111585783631235,0.00927734375,0.8955078125,0.88623046875,9.798024095594883,0.4537569822277874
2,512,dest_train,3,32,True,True,True,24,0.03181729027208751,0.011136051595230628,0.00020406744442880154,1.0,0.0034421164309605956,0.9973958333333334,0.007666672792765894,0.997802734375,11.905334413051605,0.012451171875,0.0074626053483370924,0.020833333333333332,0.9166666666666666,0.8958333333333333,11.503759860992432,0.3078087717294693,0.010986328125,0.90869140625,0.897705078125,11.931208923459053,0.30229799111839384,2.106060655376339,0.010986328125,0.90869140625,0.897705078125,11.931208923459053,0.30229799111839384,32,0.00020406744442880154,1.0,0.0034421164309605956,0.9973958333333334,0.007666672792765894,0.997802734375,11.905334413051605,0.012451171875,0.0074626053483370924,0.020833333333333332,0.9166666666666666,0.8958333333333333,11.503759860992432,0.3078087717294693,0.010986328125,0.90869140625,0.897705078125,11.931208923459053,0.30229799111839384,2.106060655376339,0.010986328125,0.90869140625,0.897705078125,11.931208923459053,0.30229799111839384
2,512,dest_train,4,64,True,True,True,24,0.03181729027208751,0.011136051595230628,9.465705807087943e-05,1.0,0.003584618476452306,0.9973958333333334,0.007155592451908888,0.998046875,13.287243485450745,0.0126953125,0.007060935393838008,0.015625,0.9739583333333334,0.9583333333333334,12.913260300954184,0.10135644301772118,0.01123046875,0.974853515625,0.963623046875,13.282104253768921,0.09699528189958073,1.941097827831056,0.01123046875,0.974853515625,0.963623046875,13.282104253768921,0.09699528189958073,64,9.465705807087943e-05,1.0,0.003584618476452306,0.9973958333333334,0.007155592451908888,0.998046875,13.287243485450745,0.0126953125,0.007060935393838008,0.015625,0.9739583333333334,0.9583333333333334,12.913260300954184,0.10135644301772118,0.01123046875,0.974853515625,0.963623046875,13.282104253768921,0.09699528189958073,1.941097827831056,0.01123046875,0.974853515625,0.963623046875,13.282104253768921,0.09699528189958073
2,512,dest_train,5,96,False,True,False,24,0.03181729027208751,0.011136051595230628,4.486119905777741e-05,1.0,0.002544755584191686,0.9973958333333334,0.006612674742882518,0.998291015625,15.253002762794495,0.010986328125,0.006567813543824741,0.020833333333333332,0.96875,0.9479166666666666,14.74690310160319,0.08038038139541943,0.010498046875,0.975830078125,0.96533203125,15.232603304088116,0.07565267132304143,1.8488543940814657,0.010498046875,0.975830078125,0.96533203125,15.232603304088116,0.07565267132304143,64,9.465705807087943e-05,1.0,0.003584618476452306,0.9973958333333334,0.007155592451908888,0.998046875,13.287243485450745,0.0126953125,0.007060935393838008,0.015625,0.9739583333333334,0.9583333333333334,12.913260300954184,0.10135644301772118,0.01123046875,0.974853515625,0.963623046875,13.282104253768921,0.09699528189958073,1.941097827831056,0.01123046875,0.974853515625,0.963623046875,13.282104253768921,0.09699528189958073
3,512,dest_train,0,4,True,True,True,24,0.03181729027208751,0.011136051595230628,0.01898442767560482,1.0,0.018832236528396606,1.0,0.02265699056442827,0.997802734375,4.330874532461166,0.008544921875,0.0036725628888234496,0.0,0.5572916666666666,0.5572916666666666,4.494423945744832,0.8522472182909647,0.00634765625,0.4892578125,0.48291015625,4.32428926602006,0.9400850012898445,1.5163271433728174,0.00634765625,0.4892578125,0.48291015625,4.32428926602006,0.9400850012898445,4,0.01898442767560482,1.0,0.018832236528396606,1.0,0.02265699056442827,0.997802734375,4.330874532461166,0.008544921875,0.0036725628888234496,0.0,0.5572916666666666,0.5572916666666666,4.494423945744832,0.8522472182909647,0.00634765625,0.4892578125,0.48291015625,4.32428926602006,0.9400850012898445,1.5163271433728174,0.00634765625,0.4892578125,0.48291015625,4.32428926602006,0.9400850012898445
3,512,dest_train,1,8,True,True,True,24,0.03181729027208751,0.011136051595230628,0.0033865509321913123,1.0,0.0047792848975708084,1.0,0.008630007883766666,0.99755859375,6.675488114356995,0.010986328125,0.005243456951575354,0.010416666666666666,0.9583333333333334,0.9479166666666667,7.001778761545817,0.31566742559274036,0.008056640625,0.9501953125,0.942138671875,6.658584222197533,0.3225268921814859,1.8560269451073255,0.008056640625,0.9501953125,0.942138671875,6.658584222197533,0.3225268921814859,8,0.0033865509321913123,1.0,0.0047792848975708084,1.0,0.008630007883766666,0.99755859375,6.675488114356995,0.010986328125,0.005243456951575354,0.010416666666666666,0.9583333333333334,0.9479166666666667,7.001778761545817,0.31566742559274036,0.008056640625,0.9501953125,0.942138671875,6.658584222197533,0.3225268921814859,1.8560269451073255,0.008056640625,0.9501953125,0.942138671875,6.658584222197533,0.3225268921814859
