m,seed,policy,degree,train_loss,val_loss,test_loss,accepted,cap_ok,val_ok,epsV,tau,K
400,47,destructive,0,0.457500,0.535000,0.459833,1,1,1,0.399893,0.199947,5
400,47,destructive,1,0.215000,0.265000,0.226800,1,1,1,0.399893,0.199947,5
400,47,destructive,2,0.175000,0.255000,0.291300,1,1,1,0.399893,0.199947,5
400,47,destructive,3,0.000000,0.375000,0.326300,0,1,0,0.399893,0.199947,5
400,48,destructive,0,0.492500,0.480000,0.463567,1,1,1,0.399893,0.199947,5
400,48,destructive,1,0.262500,0.190000,0.221400,1,1,1,0.399893,0.199947,5
400,48,destructive,2,0.202500,0.275000,0.293900,0,1,0,0.399893,0.199947,5
400,49,destructive,0,0.425000,0.470000,0.460700,1,1,1,0.399893,0.199947,5
400,49,destructive,1,0.185000,0.270000,0.240800,1,1,1,0.399893,0.199947,5
400,49,destructive,2,0.112500,0.255000,0.264800,1,1,1,0.399893,0.199947,5
400,49,destructive,3,0.000000,0.345000,0.315567,0,1,0,0.399893,0.199947,5
800,0,destructive,0,0.475000,0.465000,0.460233,1,1,1,0.447118,0.223559,7
800,0,destructive,1,0.227500,0.255000,0.226067,1,1,1,0.447118,0.223559,7
800,0,destructive,2,0.211250,0.285000,0.242467,0,1,0,0.447118,0.223559,7
800,1,destructive,0,0.458750,0.495000,0.464967,1,1,1,0.447118,0.223559,7
800,1,destructive,1,0.206250,0.300000,0.232533,1,1,1,0.447118,0.223559,7
800,1,destructive,2,0.176250,0.320000,0.245133,0,1,0,0.447118,0.223559,7
800,2,destructive,0,0.453750,0.440000,0.459767,1,1,1,0.447118,0.223559,7
800,2,destructive,1,0.216250,0.245000,0.224633,1,1,1,0.447118,0.223559,7
800,2,destructive,2,0.205000,0.230000,0.241167,1,1,1,0.447118,0.223559,7
800,2,destructive,3,0.071250,0.370000,0.332233,0,1,0,0.447118,0.223559,7
800,3,destructive,0,0.445000,0.525000,0.456933,1,1,1,0.447118,0.223559,7
800,3,destructive,1,0.237500,0.215000,0.227500,1,1,1,0.447118,0.223559,7
800,3,destructive,2,0.190000,0.230000,0.246100,0,1,0,0.447118,0.223559,7
800,4,destructive,0,0.483750,0.465000,0.458233,1,1,1,0.447118,0.223559,7
800,4,destructive,1,0.207500,0.320000,0.231067,1,1,1,0.447118,0.223559,7
800,4,destructive,2,0.196250,0.305000,0.243567,1,1,1,0.447118,0.223559,7
800,4,destructive,3,0.072500,0.355000,0.320000,0,1,0,0.447118,0.223559,7
800,5,destructive,0,0.463750,0.505000,0.456767,1,1,1,0.447118,0.223559,7
800,5,destructive,1,0.202500,0.330000,0.229000,1,1,1,0.447118,0.223559,7
800,5,destructive,2,0.196250,0.325000,0.234200,1,1,1,0.447118,0.223559,7
800,5,destructive,3,0.051250,0.425000,0.325267,0,1,0,0.447118,0.223559,7
800,6,destructive,0,0.473750,0.450000,0.457100,1,1,1,0.447118,0.223559,7
800,6,destructive,1,0.241250,0.230000,0.234767,1,1,1,0.447118,0.223559,7
800,6,destructive,2,0.206250,0.255000,0.247367,0,1,0,0.447118,0.223559,7
800,7,destructive,0,0.445000,0.540000,0.459467,1,1,1,0.447118,0.223559,7
800,7,destructive,1,0.215000,0.220000,0.232367,1,1,1,0.447118,0.223559,7
800,7,destructive,2,0.192500,0.225000,0.240700,1,1,1,0.447118,0.223559,7
800,7,destructive,3,0.061250,0.290000,0.331267,0,1,0,0.447118,0.223559,7
800,8,destructive,0,0.478750,0.405000,0.459867,1,1,1,0.447118,0.223559,7
800,8,destructive,1,0.251250,0.220000,0.231533,1,1,1,0.447118,0.223559,7
800,8,destructive,2,0.221250,0.235000,0.256967,0,1,0,0.447118,0.223559,7
800,9,destructive,0,0.436250,0.440000,0.458233,1,1,1,0.447118,0.223559,7
800,9,destructive,1,0.233750,0.220000,0.234567,1,1,1,0.447118,0.223559,7
800,9,destructive,2,0.210000,0.245000,0.253133,0,1,0,0.447118,0.223559,7
800,10,destructive,0,0.480000,0.470000,0.457733,1,1,1,0.447118,0.223559,7
800,10,destructive,1,0.233750,0.255000,0.228400,1,1,1,0.447118,0.223559,7
800,10,destructive,2,0.217500,0.285000,0.243200,0,1,0,0.447118,0.223559,7
800,11,destructive,0,0.441250,0.490000,0.462500,1,1,1,0.447118,0.223559,7
800,11,destructive,1,0.218750,0.250000,0.233967,1,1,1,0.447118,0.223559,7
800,11,destructive,2,0.203750,0.310000,0.242667,0,1,0,0.447118,0.223559,7
800,12,destructive,0,0.436250,0.430000,0.456433,1,1,1,0.447118,0.223559,7
800,12,destructive,1,0.218750,0.195000,0.222033,1,1,1,0.447118,0.223559,7
800,12,destructive,2,0.181250,0.240000,0.242100,0,1,0,0.447118,0.223559,7
800,13,destructive,0,0.447500,0.480000,0.458633,1,1,1,0.447118,0.223559,7
800,13,destructive,1,0.248750,0.250000,0.231400,1,1,1,0.447118,0.223559,7
800,13,destructive,2,0.207500,0.250000,0.252233,1,1,1,0.447118,0.223559,7
800,13,destructive,3,0.111250,0.300000,0.331867,0,1,0,0.447118,0.223559,7
800,14,destructive,0,0.472500,0.505000,0.457300,1,1,1,0.447118,0.223559,7
800,14,destructive,1,0.223750,0.220000,0.235333,1,1,1,0.447118,0.223559,7
800,14,destructive,2,0.190000,0.220000,0.242267,1,1,1,0.447118,0.223559,7
800,14,destructive,3,0.062500,0.365000,0.331000,0,1,0,0.447118,0.223559,7
800,15,destructive,0,0.458750,0.415000,0.458667,1,1,1,0.447118,0.223559,7
800,15,destructive,1,0.221250,0.235000,0.227767,1,1,1,0.447118,0.223559,7
800,15,destructive,2,0.182500,0.265000,0.246000,0,1,0,0.447118,0.223559,7
800,16,destructive,0,0.498750,0.490000,0.461967,1,1,1,0.447118,0.223559,7
800,16,destructive,1,0.210000,0.215000,0.235267,1,1,1,0.447118,0.223559,7
800,16,destructive,2,0.185000,0.230000,0.249067,0,1,0,0.447118,0.223559,7
800,17,destructive,0,0.440000,0.485000,0.460533,1,1,1,0.447118,0.223559,7
800,17,destructive,1,0.227500,0.265000,0.229567,1,1,1,0.447118,0.223559,7
800,17,destructive,2,0.211250,0.235000,0.238900,1,1,1,0.447118,0.223559,7
800,17,destructive,3,0.097500,0.335000,0.328333,0,1,0,0.447118,0.223559,7
800,18,destructive,0,0.458750,0.480000,0.461767,1,1,1,0.447118,0.223559,7
800,18,destructive,1,0.218750,0.220000,0.227300,1,1,1,0.447118,0.223559,7
800,18,destructive,2,0.200000,0.220000,0.255433,1,1,1,0.447118,0.223559,7
800,18,destructive,3,0.075000,0.345000,0.322133,0,1,0,0.447118,0.223559,7
800,19,destructive,0,0.458750,0.420000,0.457433,1,1,1,0.447118,0.223559,7
800,19,destructive,1,0.196250,0.200000,0.228200,1,1,1,0.447118,0.223559,7
800,19,destructive,2,0.187500,0.215000,0.236067,0,1,0,0.447118,0.223559,7
800,20,destructive,0,0.450000,0.495000,0.465733,1,1,1,0.447118,0.223559,7
800,20,destructive,1,0.205000,0.195000,0.227233,1,1,1,0.447118,0.223559,7
800,20,destructive,2,0.180000,0.240000,0.234867,0,1,0,0.447118,0.223559,7
800,21,destructive,0,0.483750,0.465000,0.462400,1,1,1,0.447118,0.223559,7
800,21,destructive,1,0.222500,0.220000,0.228100,1,1,1,0.447118,0.223559,7
800,21,destructive,2,0.211250,0.250000,0.255500,0,1,0,0.447118,0.223559,7
800,22,destructive,0,0.455000,0.435000,0.463067,1,1,1,0.447118,0.223559,7
