m,seed,policy,degree,train_loss,val_loss,test_loss,accepted,cap_ok,val_ok,epsV,tau,K
400,39,twogate,1,0.215000,0.220000,0.237300,0,1,0,0.399893,0.199947,5
400,40,twogate,0,0.497500,0.410000,0.458267,1,1,1,0.399893,0.199947,5
400,40,twogate,1,0.212500,0.240000,0.235233,0,1,0,0.399893,0.199947,5
400,41,twogate,0,0.477500,0.415000,0.461433,1,1,1,0.399893,0.199947,5
400,41,twogate,1,0.217500,0.235000,0.233867,0,1,0,0.399893,0.199947,5
400,42,twogate,0,0.495000,0.550000,0.539733,1,1,1,0.399893,0.199947,5
400,42,twogate,1,0.245000,0.240000,0.239167,0,1,0,0.399893,0.199947,5
400,43,twogate,0,0.485000,0.480000,0.462900,1,1,1,0.399893,0.199947,5
400,43,twogate,1,0.232500,0.195000,0.235467,0,1,0,0.399893,0.199947,5
400,44,twogate,0,0.407500,0.465000,0.460233,1,1,1,0.399893,0.199947,5
400,44,twogate,1,0.217500,0.175000,0.245467,0,1,0,0.399893,0.199947,5
400,45,twogate,0,0.477500,0.465000,0.456033,1,1,1,0.399893,0.199947,5
400,45,twogate,1,0.225000,0.235000,0.231867,0,1,0,0.399893,0.199947,5
400,46,twogate,0,0.462500,0.495000,0.465367,1,1,1,0.399893,0.199947,5
400,46,twogate,1,0.235000,0.195000,0.237100,0,1,0,0.399893,0.199947,5
400,47,twogate,0,0.457500,0.535000,0.459833,1,1,1,0.399893,0.199947,5
400,47,twogate,1,0.215000,0.265000,0.226800,0,1,0,0.399893,0.199947,5
400,48,twogate,0,0.492500,0.480000,0.463567,1,1,1,0.399893,0.199947,5
400,48,twogate,1,0.262500,0.190000,0.221400,0,1,0,0.399893,0.199947,5
400,49,twogate,0,0.425000,0.470000,0.460700,1,1,1,0.399893,0.199947,5
400,49,twogate,1,0.185000,0.270000,0.240800,0,1,0,0.399893,0.199947,5
800,0,twogate,0,0.475000,0.465000,0.460233,1,1,1,0.447118,0.223559,7
800,0,twogate,1,0.227500,0.255000,0.226067,0,1,0,0.447118,0.223559,7
800,1,twogate,0,0.458750,0.495000,0.464967,1,1,1,0.447118,0.223559,7
800,1,twogate,1,0.206250,0.300000,0.232533,0,1,0,0.447118,0.223559,7
800,2,twogate,0,0.453750,0.440000,0.459767,1,1,1,0.447118,0.223559,7
800,2,twogate,1,0.216250,0.245000,0.224633,0,1,0,0.447118,0.223559,7
800,3,twogate,0,0.445000,0.525000,0.456933,1,1,1,0.447118,0.223559,7
800,3,twogate,1,0.237500,0.215000,0.227500,0,1,0,0.447118,0.223559,7
800,4,twogate,0,0.483750,0.465000,0.458233,1,1,1,0.447118,0.223559,7
800,4,twogate,1,0.207500,0.320000,0.231067,0,1,0,0.447118,0.223559,7
800,5,twogate,0,0.463750,0.505000,0.456767,1,1,1,0.447118,0.223559,7
800,5,twogate,1,0.202500,0.330000,0.229000,0,1,0,0.447118,0.223559,7
800,6,twogate,0,0.473750,0.450000,0.457100,1,1,1,0.447118,0.223559,7
800,6,twogate,1,0.241250,0.230000,0.234767,0,1,0,0.447118,0.223559,7
800,7,twogate,0,0.445000,0.540000,0.459467,1,1,1,0.447118,0.223559,7
800,7,twogate,1,0.215000,0.220000,0.232367,0,1,0,0.447118,0.223559,7
800,8,twogate,0,0.478750,0.405000,0.459867,1,1,1,0.447118,0.223559,7
800,8,twogate,1,0.251250,0.220000,0.231533,0,1,0,0.447118,0.223559,7
800,9,twogate,0,0.436250,0.440000,0.458233,1,1,1,0.447118,0.223559,7
800,9,twogate,1,0.233750,0.220000,0.234567,0,1,0,0.447118,0.223559,7
800,10,twogate,0,0.480000,0.470000,0.457733,1,1,1,0.447118,0.223559,7
800,10,twogate,1,0.233750,0.255000,0.228400,0,1,0,0.447118,0.223559,7
800,11,twogate,0,0.441250,0.490000,0.462500,1,1,1,0.447118,0.223559,7
800,11,twogate,1,0.218750,0.250000,0.233967,0,1,0,0.447118,0.223559,7
800,12,twogate,0,0.436250,0.430000,0.456433,1,1,1,0.447118,0.223559,7
800,12,twogate,1,0.218750,0.195000,0.222033,0,1,0,0.447118,0.223559,7
800,13,twogate,0,0.447500,0.480000,0.458633,1,1,1,0.447118,0.223559,7
800,13,twogate,1,0.248750,0.250000,0.231400,0,1,0,0.447118,0.223559,7
800,14,twogate,0,0.472500,0.505000,0.457300,1,1,1,0.447118,0.223559,7
800,14,twogate,1,0.223750,0.220000,0.235333,0,1,0,0.447118,0.223559,7
800,15,twogate,0,0.458750,0.415000,0.458667,1,1,1,0.447118,0.223559,7
800,15,twogate,1,0.221250,0.235000,0.227767,0,1,0,0.447118,0.223559,7
800,16,twogate,0,0.498750,0.490000,0.461967,1,1,1,0.447118,0.223559,7
