seed,m,policy,degree,iter,step_mass,train_loss,test_loss,gen_gap
0,500,no_cap,7,2200,11.083034,0.610015,0.627553,0.017538
0,500,no_cap,7,2210,11.108587,0.610046,0.627656,0.017611
0,500,no_cap,7,2220,11.134081,0.610118,0.627860,0.017743
0,500,no_cap,7,2230,11.159518,0.610138,0.627907,0.017769
0,500,no_cap,7,2240,11.184898,0.610157,0.627971,0.017814
0,500,no_cap,7,2250,11.210222,0.610131,0.627919,0.017787
0,500,no_cap,7,2260,11.235489,0.610091,0.627842,0.017752
0,500,no_cap,7,2270,11.260701,0.610089,0.627819,0.017729
0,500,no_cap,7,2280,11.285857,0.610065,0.627732,0.017667
0,500,no_cap,7,2290,11.310958,0.610066,0.627826,0.017760
0,500,no_cap,7,2300,11.336004,0.610039,0.627769,0.017730
0,500,no_cap,7,2310,11.360996,0.609955,0.627515,0.017560
0,500,no_cap,7,2320,11.385934,0.609942,0.627509,0.017567
0,500,no_cap,7,2330,11.410818,0.609929,0.627418,0.017489
0,500,no_cap,7,2340,11.435649,0.609921,0.627448,0.017527
0,500,no_cap,7,2350,11.460427,0.609905,0.627343,0.017438
0,500,no_cap,7,2360,11.485152,0.609890,0.627325,0.017434
0,500,no_cap,7,2370,11.509825,0.609888,0.627302,0.017414
0,500,no_cap,7,2380,11.534446,0.609859,0.627254,0.017395
0,500,no_cap,7,2390,11.559015,0.609850,0.627226,0.017376
0,500,no_cap,7,2400,11.583533,0.609850,0.627256,0.017406
0,500,no_cap,7,2410,11.608000,0.609851,0.627219,0.017368
0,500,no_cap,7,2420,11.632416,0.609850,0.627184,0.017335
0,500,no_cap,7,2430,11.656782,0.609843,0.627198,0.017355
0,500,no_cap,7,2440,11.681098,0.609827,0.627324,0.017497
0,500,no_cap,7,2450,11.705364,0.609818,0.627412,0.017594
0,500,no_cap,7,2460,11.729580,0.609803,0.627342,0.017539
0,500,no_cap,7,2470,11.753747,0.609792,0.627334,0.017541
0,500,no_cap,7,2480,11.777866,0.609793,0.627186,0.017393
0,500,no_cap,7,2490,11.801936,0.609792,0.627158,0.017366
0,500,no_cap,7,2500,11.825957,0.609773,0.627232,0.017458
0,500,no_cap,7,2510,11.849931,0.609765,0.627156,0.017391
