m,seed,policy,degree,accepted,cap_ok,val_ok,train_loss,val_loss,test_loss,epsV,tau,K
150,2,dest_train,10,1,1,1,0.293333,0.450000,0.438000,0.042809,0.008562,16
150,2,dest_train,11,1,1,1,0.293333,0.433333,0.439000,0.042809,0.008562,16
150,2,dest_train,12,1,1,1,0.293333,0.450000,0.438000,0.042809,0.008562,16
150,2,dest_train,13,1,1,1,0.293333,0.433333,0.440000,0.042809,0.008562,16
150,2,dest_train,14,1,1,1,0.293333,0.450000,0.436000,0.042809,0.008562,16
150,2,dest_train,15,1,1,1,0.293333,0.433333,0.437000,0.042809,0.008562,16
150,2,dest_train,16,1,1,1,0.293333,0.433333,0.436000,0.042809,0.008562,16
150,2,dest_train,17,1,1,1,0.293333,0.433333,0.435000,0.042809,0.008562,16
150,2,dest_train,18,1,1,1,0.293333,0.433333,0.429000,0.042809,0.008562,16
150,2,dest_train,19,1,1,1,0.293333,0.433333,0.430000,0.042809,0.008562,16
150,2,dest_train,20,1,1,1,0.293333,0.433333,0.427000,0.042809,0.008562,16
150,2,dest_train,21,1,1,1,0.293333,0.433333,0.429000,0.042809,0.008562,16
150,2,dest_train,22,0,1,0,0.300000,0.433333,0.427000,0.042809,0.008562,16
150,2,dest_train,23,0,1,0,0.300000,0.433333,0.431000,0.042809,0.008562,16
150,2,dest_train,24,0,1,0,0.300000,0.433333,0.429000,0.042809,0.008562,16
150,2,dest_train,25,0,1,0,0.300000,0.433333,0.430000,0.042809,0.008562,16
150,2,dest_train,26,0,1,0,0.300000,0.433333,0.427000,0.042809,0.008562,16
150,2,dest_train,27,0,1,0,0.300000,0.433333,0.429000,0.042809,0.008562,16
150,2,dest_train,28,0,1,0,0.300000,0.433333,0.428000,0.042809,0.008562,16
150,2,dest_train,29,0,1,0,0.300000,0.433333,0.430000,0.042809,0.008562,16
150,2,dest_train,30,0,1,0,0.300000,0.433333,0.428000,0.042809,0.008562,16
150,3,dest_train,0,1,1,1,0.493333,0.600000,0.530000,0.042809,0.008562,16
150,3,dest_train,1,1,1,1,0.366667,0.366667,0.396000,0.042809,0.008562,16
150,3,dest_train,2,1,1,1,0.346667,0.400000,0.410000,0.042809,0.008562,16
150,3,dest_train,3,1,1,1,0.320000,0.433333,0.430000,0.042809,0.008562,16
150,3,dest_train,4,1,1,1,0.320000,0.416667,0.431000,0.042809,0.008562,16
150,3,dest_train,5,0,1,0,0.353333,0.400000,0.429000,0.042809,0.008562,16
150,3,dest_train,6,0,1,0,0.340000,0.400000,0.430000,0.042809,0.008562,16
150,3,dest_train,7,0,1,0,0.353333,0.383333,0.431000,0.042809,0.008562,16
150,3,dest_train,8,0,1,0,0.353333,0.383333,0.434000,0.042809,0.008562,16
150,3,dest_train,9,0,1,0,0.346667,0.383333,0.430000,0.042809,0.008562,16
150,3,dest_train,10,0,1,0,0.340000,0.383333,0.433000,0.042809,0.008562,16
150,3,dest_train,11,0,1,0,0.340000,0.383333,0.432000,0.042809,0.008562,16
150,3,dest_train,12,0,1,0,0.333333,0.383333,0.432000,0.042809,0.008562,16
150,3,dest_train,13,0,1,0,0.333333,0.383333,0.433000,0.042809,0.008562,16
150,3,dest_train,14,0,1,0,0.333333,0.383333,0.433000,0.042809,0.008562,16
150,3,dest_train,15,0,1,0,0.333333,0.383333,0.431000,0.042809,0.008562,16
150,3,dest_train,16,0,1,0,0.346667,0.383333,0.432000,0.042809,0.008562,16
150,3,dest_train,17,0,1,0,0.353333,0.383333,0.435000,0.042809,0.008562,16
150,3,dest_train,18,0,1,0,0.353333,0.383333,0.437000,0.042809,0.008562,16
150,3,dest_train,19,0,1,0,0.346667,0.383333,0.434000,0.042809,0.008562,16
150,3,dest_train,20,0,1,0,0.346667,0.383333,0.432000,0.042809,0.008562,16
150,3,dest_train,21,0,1,0,0.340000,0.383333,0.430000,0.042809,0.008562,16
150,3,dest_train,22,0,1,0,0.340000,0.383333,0.431000,0.042809,0.008562,16
150,3,dest_train,23,0,1,0,0.340000,0.383333,0.431000,0.042809,0.008562,16
150,3,dest_train,24,0,1,0,0.340000,0.383333,0.431000,0.042809,0.008562,16
150,3,dest_train,25,0,1,0,0.340000,0.383333,0.431000,0.042809,0.008562,16
