m,seed,policy,degree,train_loss,val_loss,test_loss,accepted,cap_ok,val_ok,epsV,tau,K
500,4,destructive,27,0.264000,0.245000,0.238920,1,1,1,0.236607,0.118304,11
500,4,destructive,28,0.264000,0.246000,0.240140,1,1,1,0.236607,0.118304,11
500,4,destructive,29,0.264000,0.247000,0.239400,1,1,1,0.236607,0.118304,11
500,4,destructive,30,0.264000,0.248000,0.240800,1,1,1,0.236607,0.118304,11
500,4,destructive,31,0.264000,0.248000,0.240140,1,1,1,0.236607,0.118304,11
500,4,destructive,32,0.266000,0.247000,0.240960,1,1,1,0.236607,0.118304,11
500,4,destructive,33,0.266000,0.248000,0.240080,1,1,1,0.236607,0.118304,11
500,4,destructive,34,0.266000,0.247000,0.241000,1,1,1,0.236607,0.118304,11
500,4,destructive,35,0.266000,0.246000,0.240180,1,1,1,0.236607,0.118304,11
500,4,destructive,36,0.266000,0.246000,0.240860,1,1,1,0.236607,0.118304,11
500,4,destructive,37,0.268000,0.246000,0.240180,1,1,1,0.236607,0.118304,11
500,4,destructive,38,0.268000,0.246000,0.240980,1,1,1,0.236607,0.118304,11
500,4,destructive,39,0.268000,0.245000,0.240220,1,1,1,0.236607,0.118304,11
500,4,destructive,40,0.266000,0.245000,0.240420,1,1,1,0.236607,0.118304,11
500,4,destructive,41,0.268000,0.246000,0.240060,1,1,1,0.236607,0.118304,11
500,4,destructive,42,0.268000,0.247000,0.241060,1,1,1,0.236607,0.118304,11
500,4,destructive,43,0.264000,0.248000,0.241860,1,1,1,0.236607,0.118304,11
500,4,destructive,44,0.266000,0.251000,0.243100,1,1,1,0.236607,0.118304,11
500,4,destructive,45,0.264000,0.250000,0.242860,1,1,1,0.236607,0.118304,11
500,4,destructive,46,0.264000,0.251000,0.243600,1,1,1,0.236607,0.118304,11
500,4,destructive,47,0.264000,0.253000,0.243300,1,1,1,0.236607,0.118304,11
500,4,destructive,48,0.266000,0.254000,0.244680,1,1,1,0.236607,0.118304,11
500,4,destructive,49,0.264000,0.255000,0.243600,1,1,1,0.236607,0.118304,11
500,4,destructive,50,0.262000,0.254000,0.244400,1,1,1,0.236607,0.118304,11
500,4,destructive,51,0.264000,0.255000,0.243760,1,1,1,0.236607,0.118304,11
500,4,destructive,52,0.262000,0.255000,0.244500,1,1,1,0.236607,0.118304,11
500,0,destructive,0,0.454000,0.451000,0.435480,1,1,1,0.236607,0.118304,11
500,0,destructive,1,0.240000,0.231000,0.240760,1,1,1,0.236607,0.118304,11
500,0,destructive,2,0.232000,0.231000,0.238120,1,1,1,0.236607,0.118304,11
500,0,destructive,3,0.232000,0.231000,0.238160,1,1,1,0.236607,0.118304,11
500,0,destructive,4,0.232000,0.231000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,5,0.232000,0.231000,0.238260,1,1,1,0.236607,0.118304,11
500,0,destructive,6,0.232000,0.230000,0.238160,1,1,1,0.236607,0.118304,11
500,0,destructive,7,0.232000,0.230000,0.238200,1,1,1,0.236607,0.118304,11
500,0,destructive,8,0.232000,0.231000,0.238240,1,1,1,0.236607,0.118304,11
500,0,destructive,9,0.232000,0.231000,0.238100,1,1,1,0.236607,0.118304,11
500,0,destructive,10,0.232000,0.231000,0.238300,1,1,1,0.236607,0.118304,11
500,0,destructive,11,0.232000,0.231000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,12,0.232000,0.231000,0.238140,1,1,1,0.236607,0.118304,11
500,0,destructive,13,0.232000,0.231000,0.238140,1,1,1,0.236607,0.118304,11
500,0,destructive,14,0.232000,0.230000,0.238140,1,1,1,0.236607,0.118304,11
500,0,destructive,15,0.232000,0.230000,0.238120,1,1,1,0.236607,0.118304,11
500,0,destructive,16,0.232000,0.230000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,17,0.232000,0.230000,0.238140,1,1,1,0.236607,0.118304,11
500,0,destructive,18,0.232000,0.230000,0.238160,1,1,1,0.236607,0.118304,11
500,0,destructive,19,0.232000,0.230000,0.238140,1,1,1,0.236607,0.118304,11
500,0,destructive,20,0.232000,0.229000,0.238160,1,1,1,0.236607,0.118304,11
500,0,destructive,21,0.232000,0.229000,0.238160,1,1,1,0.236607,0.118304,11
500,0,destructive,22,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,23,0.232000,0.229000,0.238160,1,1,1,0.236607,0.118304,11
500,0,destructive,24,0.232000,0.229000,0.238200,1,1,1,0.236607,0.118304,11
500,0,destructive,25,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,26,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,27,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,28,0.232000,0.229000,0.238160,1,1,1,0.236607,0.118304,11
500,0,destructive,29,0.232000,0.229000,0.238160,1,1,1,0.236607,0.118304,11
500,0,destructive,30,0.232000,0.229000,0.238160,1,1,1,0.236607,0.118304,11
500,0,destructive,31,0.232000,0.229000,0.238160,1,1,1,0.236607,0.118304,11
500,0,destructive,32,0.232000,0.229000,0.238160,1,1,1,0.236607,0.118304,11
500,0,destructive,33,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,34,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,35,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,36,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,37,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,38,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,39,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,40,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,41,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,42,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,43,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,44,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
500,0,destructive,45,0.232000,0.229000,0.238180,1,1,1,0.236607,0.118304,11
