m,seed,policy,degree,accepted,cap_ok,val_ok,train_loss,val_loss,test_loss,epsV,tau,K
150,4,twogate,7,0,1,0,0.300000,0.416667,0.515000,0.075273,0.015055,31
150,4,twogate,8,0,1,0,0.300000,0.383333,0.514000,0.075273,0.015055,31
150,4,twogate,9,0,1,0,0.300000,0.400000,0.505000,0.075273,0.015055,31
150,4,twogate,10,0,1,0,0.300000,0.433333,0.506000,0.075273,0.015055,31
150,4,twogate,11,0,1,0,0.300000,0.433333,0.509000,0.075273,0.015055,31
150,4,twogate,12,0,1,0,0.300000,0.433333,0.510000,0.075273,0.015055,31
150,4,twogate,13,0,1,0,0.300000,0.416667,0.515000,0.075273,0.015055,31
150,4,twogate,14,0,1,0,0.300000,0.416667,0.512000,0.075273,0.015055,31
150,4,twogate,15,0,1,0,0.300000,0.416667,0.513000,0.075273,0.015055,31
150,4,twogate,16,0,1,0,0.300000,0.416667,0.513000,0.075273,0.015055,31
150,4,twogate,17,0,1,0,0.300000,0.400000,0.517000,0.075273,0.015055,31
150,4,twogate,18,0,1,0,0.300000,0.400000,0.514000,0.075273,0.015055,31
150,4,twogate,19,0,1,0,0.300000,0.400000,0.514000,0.075273,0.015055,31
150,4,twogate,20,0,1,0,0.306667,0.400000,0.517000,0.075273,0.015055,31
150,4,twogate,21,0,1,0,0.306667,0.400000,0.518000,0.075273,0.015055,31
150,4,twogate,22,0,1,0,0.306667,0.400000,0.516000,0.075273,0.015055,31
150,4,twogate,23,0,1,0,0.306667,0.400000,0.518000,0.075273,0.015055,31
150,4,twogate,24,0,1,0,0.306667,0.400000,0.518000,0.075273,0.015055,31
150,4,twogate,25,0,1,0,0.306667,0.400000,0.518000,0.075273,0.015055,31
150,4,twogate,26,0,1,0,0.306667,0.400000,0.517000,0.075273,0.015055,31
150,4,twogate,27,0,1,0,0.300000,0.400000,0.516000,0.075273,0.015055,31
150,4,twogate,28,0,1,0,0.300000,0.400000,0.517000,0.075273,0.015055,31
150,4,twogate,29,0,1,0,0.300000,0.400000,0.515000,0.075273,0.015055,31
150,4,twogate,30,0,1,0,0.300000,0.400000,0.515000,0.075273,0.015055,31
