seed,m,policy,degree,iter,step_mass,train_loss,test_loss,gen_gap
16,500,cap,7,50,0.637619,0.664851,0.665639,0.000788
16,500,cap,7,60,0.704802,0.661864,0.662805,0.000941
16,500,cap,7,70,0.766627,0.659270,0.660340,0.001070
16,500,cap,7,80,0.824202,0.657826,0.659038,0.001211
16,500,cap,7,90,0.878298,0.656378,0.657640,0.001262
16,500,cap,7,100,0.929480,0.654930,0.656255,0.001325
16,500,cap,7,110,0.978173,0.653713,0.655121,0.001408
17,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
17,500,cap,7,10,0.251050,0.678887,0.679862,0.000975
17,500,cap,7,20,0.379763,0.675785,0.676555,0.000770
17,500,cap,7,30,0.479257,0.673090,0.673923,0.000833
17,500,cap,7,40,0.563382,0.670678,0.671691,0.001013
17,500,cap,7,50,0.637619,0.668808,0.669826,0.001017
17,500,cap,7,60,0.704802,0.666157,0.667131,0.000974
17,500,cap,7,70,0.766627,0.664588,0.665554,0.000966
17,500,cap,7,80,0.824202,0.663635,0.664544,0.000910
17,500,cap,7,90,0.878298,0.662164,0.663142,0.000978
17,500,cap,7,100,0.929480,0.660784,0.661721,0.000937
17,500,cap,7,110,0.978173,0.659292,0.660384,0.001092
18,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
18,500,cap,7,10,0.251050,0.681050,0.681844,0.000794
18,500,cap,7,20,0.379763,0.676226,0.677624,0.001398
18,500,cap,7,30,0.479257,0.670679,0.672385,0.001706
18,500,cap,7,40,0.563382,0.668057,0.670110,0.002053
18,500,cap,7,50,0.637619,0.665067,0.667202,0.002135
18,500,cap,7,60,0.704802,0.663263,0.665531,0.002268
18,500,cap,7,70,0.766627,0.661803,0.664200,0.002397
18,500,cap,7,80,0.824202,0.660876,0.663305,0.002430
18,500,cap,7,90,0.878298,0.659481,0.662110,0.002629
18,500,cap,7,100,0.929480,0.658187,0.660911,0.002724
18,500,cap,7,110,0.978173,0.656463,0.659290,0.002827
19,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
19,500,cap,7,10,0.251050,0.680180,0.680617,0.000436
19,500,cap,7,20,0.379763,0.675553,0.675894,0.000340
19,500,cap,7,30,0.479257,0.672270,0.672518,0.000248
19,500,cap,7,40,0.563382,0.668739,0.668918,0.000179
19,500,cap,7,50,0.637619,0.665912,0.665993,0.000081
19,500,cap,7,60,0.704802,0.663423,0.663436,0.000013
19,500,cap,7,70,0.766627,0.661752,0.661732,-0.000020
19,500,cap,7,80,0.824202,0.659759,0.659671,-0.000088
19,500,cap,7,90,0.878298,0.658438,0.658333,-0.000104
19,500,cap,7,100,0.929480,0.657017,0.657018,0.000001
19,500,cap,7,110,0.978173,0.655937,0.655885,-0.000052
20,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
20,500,cap,7,10,0.251050,0.681032,0.679062,-0.001970
20,500,cap,7,20,0.379763,0.676349,0.673123,-0.003226
20,500,cap,7,30,0.479257,0.674454,0.671200,-0.003254
20,500,cap,7,40,0.563382,0.671966,0.668224,-0.003742
20,500,cap,7,50,0.637619,0.671185,0.667158,-0.004027
20,500,cap,7,60,0.704802,0.669745,0.665312,-0.004433
20,500,cap,7,70,0.766627,0.668127,0.663234,-0.004893
20,500,cap,7,80,0.824202,0.667235,0.662086,-0.005149
20,500,cap,7,90,0.878298,0.666238,0.660821,-0.005417
20,500,cap,7,100,0.929480,0.665954,0.660528,-0.005426
20,500,cap,7,110,0.978173,0.665811,0.660397,-0.005413
21,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
21,500,cap,7,10,0.251050,0.678296,0.681258,0.002962
21,500,cap,7,20,0.379763,0.670977,0.676048,0.005071
21,500,cap,7,30,0.479257,0.665456,0.671645,0.006189
21,500,cap,7,40,0.563382,0.660600,0.668079,0.007478
21,500,cap,7,50,0.637619,0.657101,0.665464,0.008363
21,500,cap,7,60,0.704802,0.653550,0.662771,0.009222
21,500,cap,7,70,0.766627,0.650613,0.660935,0.010322
21,500,cap,7,80,0.824202,0.648227,0.659160,0.010933
21,500,cap,7,90,0.878298,0.647122,0.658385,0.011264
21,500,cap,7,100,0.929480,0.644501,0.656294,0.011793
21,500,cap,7,110,0.978173,0.642932,0.655355,0.012422
22,500,cap,7,0,0.000000,0.693147,0.693147,0.000000
22,500,cap,7,10,0.251050,0.676255,0.676350,0.000095
22,500,cap,7,20,0.379763,0.670930,0.670836,-0.000093
22,500,cap,7,30,0.479257,0.668512,0.668399,-0.000114
22,500,cap,7,40,0.563382,0.666886,0.667045,0.000159
22,500,cap,7,50,0.637619,0.665816,0.665746,-0.000070
22,500,cap,7,60,0.704802,0.664250,0.664126,-0.000125
22,500,cap,7,70,0.766627,0.663100,0.662961,-0.000139
22,500,cap,7,80,0.824202,0.661991,0.661855,-0.000136
